标识,项目名称,类数量,方法数量,member数量,调用数量,原始得分,重构后得分,稳定性,执行时间,扰动率
51,Trama,15,195,105,849,0.072067718,0.074083713,null,0.04s,0
52,Trama,15,195,105,849,0.07066313,0.073678862,0.277777778,0.009s,0.1
53,Trama,15,195,105,849,0.015239771,0.026592141,0.531914894,0.01s,0.2
54,Trama,15,195,105,849,0.067234285,0.081891566,0.658823529,0.009s,0.3
55,Trama,15,195,105,849,0.019465926,0.010162602,0.598360656,0.01s,0.4
66,FrontEndForMySQLDomain,54,420,170,496,0.38127604,0.399071393,null,0.133s,0
67,FrontEndForMySQLDomain,54,420,170,496,0.342984253,0.365104865,0.424242424,0.098s,0.1
68,FrontEndForMySQLDomain,54,420,170,496,0.273321093,0.321304993,0.544117647,0.092s,0.2
69,FrontEndForMySQLDomain,54,420,170,496,0.205564579,0.273321093,0.465909091,0.101s,0.3
70,FrontEndForMySQLDomain,54,420,170,496,0.176046889,0.248976061,0.472,0.09s,0.4
71,refactor,17,151,66,223,0.103364551,0.229506301,null,0.005s,0
72,refactor,17,151,66,223,0.065903573,0.140016187,0.538461538,0.004s,0.1
73,refactor,17,151,66,223,0.069603422,0.140478668,0.357142857,0.004s,0.2
74,refactor,17,151,66,223,0.086715227,0.162330905,0.357142857,0.004s,0.3
75,refactor,17,151,66,223,0.004740432,0.036998497,0.333333333,0.004s,0.4
76,demo_java,4,15,1,26,0,0.030245747,null,0.001s,0
77,demo_java,4,15,1,26,-0.007561437,0.02268431,0.5,0.0s,0.1
78,demo_java,4,15,1,26,-0.035916824,-0.035916824,0,0.0s,0.2
79,demo_java,4,15,1,26,-0.011342155,0.030245747,0.2,0.0s,0.3
80,demo_java,4,15,1,26,-0.041587902,-0.041587902,0.166666667,0.0s,0.4
81,Comiler,15,83,45,103,0.141484045,0.367935409,null,0.002s,0
82,Comiler,15,83,45,103,0.088811995,0.196462899,0.5,0.002s,0.1
83,Comiler,15,83,45,103,0.06958862,0.144175317,0.111111111,0.001s,0.2
84,Comiler,15,83,45,103,0.092656671,0.359092657,0.318181818,0.002s,0.3
85,Comiler,15,83,45,103,0.146097655,0.246059208,0.322580645,0.002s,0.4
